CODIGO	CLAVE	PRECIO1	PRECIO2	COSTO	ULTIMO_COSTO	DESCRIPCION
01620167	TCPVC280CORZANA	0.0000	0.0000	119.0059	0.0000	TUBO DE CPVC CORZAN DE 064 MM. AISLADO (2 1/2" CED. 80)
01620168	TCPVC380CORZANA	0.0000	0.0000	171.1207	0.0000	TUBO DE CPVC CORZAN DE 076 MM. AISLADO (3" CED. 80)
01620169	TCPVC480CORZANA	0.0000	0.0000	231.5369	0.0000	TUBO DE CPVC CORZAN DE 102 MM. AISLADO (4" CED. 80)
01620170	TCPVC680CORZANA	0.0000	0.0000	441.3136	0.0000	TUBO DE CPVC CORZAN DE 152 MM. AISLADO (6" CED. 80)
01620171	TCPVC880CORZANA	0.0000	0.0000	713.7795	0.0000	TUBO DE CPVC CORZAN DE 203 MM. AISLADO (8" CED. 80)
01620174	TPVC240	0.0000	0.0000	54.5619	54.5619	TUBO DE PVC DE 051 MM. (2" CED. 40)
01620177	TPVC840	0.0000	0.0000	1837.8493	1837.8493	TUBO DE PVC DE 203 MM. (8" CED. 40)
01620178	TPVC1040	0.0000	0.0000	2761.8543	2761.8543	TUBO DE PVC DE 254 MM. (10" CED. 40)
01302192	TSC3/840AI304	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. C/COSTURA T-304 DE 017.1 X 02.3 MM. (3/8" CED. 40)
01302193	TSC610AI316	0.0000	0.0000	2618.1740	2618.1740	TUBO A/INOX. S/COSTURA T-316 DE 168.3 X 03.4 MM. (6" CED. 10)
01302194	TSC540RA	0.0000	0.0000	611.1446	611.1446	TUBO DE ACERO AL CARBON SIN COSTURA 141.3 X 06.5 MM. RAN. (5" CED. 40)
01302195	TSC1680TM	0.0000	0.0000	37905.2167	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 406.4 X 21.4 MM. (16" CED. 80)
01302196	TSC2080TM	0.0000	0.0000	73294.2900	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 508 X 26.2 MM. (20" CED. 80)
01302197	TSC1/280TM	0.0000	0.0000	554.3727	554.3727	COD. ART. R03040003 TUBO DE ACERO AL CARBON SIN COSTURA 021.3 X 03.7 MM. (1/2" CED. 80)
01302198	TSC1080TM	0.0000	0.0000	16411.6368	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 273.1 X 15.1 MM. (10" CED. 80)
01302199	TSC540E	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 141.3 X 06.5 MM. (5" CED. 40)
01302200	TSC640E	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 168.3 X 07.1 MM. (6" CED. 40)
01302201	TSC1040E	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 273.1 X 09.3 MM. (10" CED. 40)
01620225	TPVC11/240	0.0000	0.0000	39.9301	39.9301	TUBO DE PVC DE 038 MM. (1 1/2" CED. 40)
01302202	TCC1/440R	0.0000	0.0000	33.7000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 013.7 X 02.2 MM. ROSC. (1/4" CED. 40)
01302203	TCC21/2DFRJARA	0.0000	0.0000	109.8800	0.0000	TUBO DE A/C C/C DE 073.0 MM. CED. 7 RAN. ROJA (2 1/2") DF
01302204	TSC1860	853.2800	0.0000	9226.3903	9226.3903	TUBO DE ACERO AL CARBON SIN COSTURA 457 X 19.5 MM. (18" CED. 60)
01103227	CP12F905	0.0000	0.0000	5111.8596	5111.8596	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 905 DE 305 MM. (12")
01302205	TSC840GLTM	0.0000	0.0000	11036.7200	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 219.1 X 08.2 MM. GALV. LISO (8" CED. 40)
01302206	TSC880TM	0.0000	0.0000	22402.8293	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 219.1 X 12.7 MM. (8" CED. 80)
01302209	TFLEX3/4PVC	0.0000	0.0000	0.0000	0.0000	TUBO FLEXIBLE DE ACERO DE 019 MM. FORRADO PVC (3/4")
01302210	TFLEX3/4ZAPA	0.0000	0.0000	0.0000	0.0000	TUBO FLEXIBLE DE ACERO DE 019 MM. ZAPA (3/4")
01500047	CON1PVC	0.0000	0.0000	3.1800	3.1800	CONECTOR PARA TUBO DE PVC PESADO DE 025 MM (1")
01500048	CP1TPVCP	0.0000	0.0000	3.8088	3.8088	COPLE PARA TUBO CONDUIT DE PVC PESADO DE 025 MM (1")
01620277	TPVC1/2CED40HID	0.0000	0.0000	0.0000	0.0000	TUBO DE PVC HID. DE 13 MM. (1/2" CED. 40)
01620285	TCPVC3/440HID	0.0000	0.0000	0.0000	0.0000	TUBO DE CPVC HID  DE 019 MM.   ( 3/4"  CED. 40 )
01302211	TCC4DFRJATM	0.0000	0.0000	1010.2200	0.0000	TUBO DE A/C C/C DE 114.3 MM. CED. 7 ROJO (4") SPS
01620288	TPVC4C900DR18	0.0000	0.0000	0.0000	0.0000	TUBO DE PVC DR18 C900 UL/FM 100MM ( 4") 
01500089	TFLEX1/2PVC	0.0000	0.0000	23.1000	23.1000	TUBO FLEXIBLE DE ACERO DE 013 MM. FORRADO PVC (1/2")
01500080	CCU1/2	0.0000	0.0000	15.7900	15.7900	CONECTOR CURVO PARA TUBO FLEXIBLE DE 013 MM. (1/2") 
01500083	CP3/4TPVCP	0.0000	0.0000	4.4710	4.4710	COPLE PARA TUBO CONDUIT DE PVC PESADO DE 019 MM (3/4")
01302212	TCC11/440RA	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 042.2 X 03.6 MM. RAN. (1 1/4" CED. 40)
01302213	TCC3/440GLTM	0.0000	0.0000	570.1134	570.1134	COD ART R01920001 TUBO DE ACERO AL CARBON CON COSTURA DE 026.7 X 02.9 MM. GALV. LISO (3/4" CED. 40)
01620291	TPVC4CED80HID	0.0000	0.0000	0.0000	0.0000	TUBO DE PVC HID. DE 102 MM.  (4" CED. 80)
01302214	TSC11/210AI304	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. S/COSTURA T-304 DE 048.3 X 02.8 MM. (1 1/2" CED. 10)
01302215	TSC3/410AI304	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. S/COSTURA T-304 DE 026.7 X 02.1 MM. (3/4" CED. 10)
01302216	TCC140ULFM	0.0000	0.0000	102.9714	102.3410	TUBO DE A/C C/C DE 033.4 X 03.4 MM. (1" CED. 40) UL FM
01302217	TCC11/440ULFM	0.0000	0.0000	173.7737	179.3938	TUBO DE A/C C/C DE 042.2 X 03.6 MM. (1 1/4 CED. 40) UL/FM
01620307	TPVC440DWVTR	0.0000	0.0000	0.0000	0.0000	TUBO DE PVC DWV DE 102 MM. (4" CED. 40) 2030233 TR
